Chromosome	Start	End	Strand	gene	locus_tag
chrI	1807	2169	-	PAU8	YAL068C
chrI	2480	2707	+	YAL067W-A	YAL067W-A
chrI	7235	9016	-	SEO1	YAL067C
chrI	11565	11951	-	YAL065C	YAL065C
chrI	12046	12426	+	YAL064W-B	YAL064W-B
chrI	13363	13743	-	TDA8	YAL064C-A
chrI	21566	21850	+	YAL064W	YAL064W
chrI	22395	22685	-	YAL063C-A	YAL063C-A
chrI	24000	27968	-	FLO9	YAL063C
chrI	31567	32940	+	GDH3	YAL062W
chrI	33448	34701	+	BDH2	YAL061W
chrI	35155	36303	+	BDH1	YAL060W
chrI	36509	37147	+	ECM1	YAL059W
chrI	37464	38972	+	CNE1	YAL058W
chrI	39259	41901	+	GPB2	YAL056W
chrI	42177	42719	+	PEX22	YAL055W
chrI	42881	45022	-	ACS1	YAL054C
chrI	45899	48250	+	FLC2	YAL053W
chrI	48564	51707	+	OAF1	YAL051W
chrI	51855	52595	-	AIM2	YAL049C
chrI	52801	54789	-	GEM1	YAL048C
chrI	54989	56857	-	SPC72	YAL047C
chrI	57029	57385	-	BOL3	YAL046C
chrI	57518	57850	+	BOL1	YAL044W-A
chrI	57950	58462	-	GCV3	YAL044C
chrI	58695	61052	-	PTA1	YAL043C
chrI	61316	62563	+	ERV46	YAL042W
chrI	62840	65404	+	CDC24	YAL041W
chrI	65778	67520	-	CLN3	YAL040C
chrI	68716	69525	-	CYC3	YAL039C
chrI	71786	73288	+	CDC19	YAL038W
chrI	73426	73518	-	YAL037C-A	YAL037C-A
chrI	74020	74823	+	YAL037W	YAL037W
chrI	75043	76152	-	RBG1	YAL036C
chrI	76427	79435	+	FUN12	YAL035W
chrI	79718	80587	+	MTW1	YAL034W-A
chrI	80710	81951	-	FUN19	YAL034C
chrI	82706	83227	+	POP5	YAL033W
chrI	83335	84474	-	PRP45	YAL032C
chrI	84749	87031	-	GIP4	YAL031C
chrI	87286	87752	+	SNC1	YAL030W
chrI	87855	92270	-	MYO4	YAL029C
chrI	92900	94486	+	FRT2	YAL028W
chrI	94687	95472	+	SAW1	YAL027W
chrI	95630	99697	-	DRS2	YAL026C
chrI	99305	99868	+	HRA1	YNCA0001W
chrI	100225	101145	-	MAK16	YAL025C
chrI	101565	105872	-	LTE1	YAL024C
chrI	106272	108551	-	PMT2	YAL023C
chrI	108877	110430	-	FUN26	YAL022C
chrI	110846	113359	-	CCR4	YAL021C
chrI	113614	114615	-	ATS1	YAL020C
chrI	114919	118314	+	FUN30	YAL019W
chrI	118564	119541	-	LDS1	YAL018C
chrI	120225	124295	+	PSK1	YAL017W
chrI	124879	126786	+	TPD3	YAL016W
chrI	126903	128102	-	NTG1	YAL015C
chrI	128252	129019	-	SYN8	YAL014C
chrI	129270	130487	+	DEP1	YAL013W
chrI	130799	131983	+	CYS3	YAL012W
chrI	132199	134076	+	SWC3	YAL011W
chrI	134184	135665	-	MDM10	YAL010C
chrI	135854	136633	+	SPO7	YAL009W
chrI	136914	137510	+	FUN14	YAL008W
chrI	137698	138345	-	ERP2	YAL007C
chrI	139152	139254	+	TRN1	YNCA0002W
chrI	139503	141431	-	SSA1	YAL005C
chrI	142174	143160	+	EFB1	YAL003W
chrI	142367	142468	+	SNR18	YNCA0003W
chrI	143707	147531	+	VPS8	YAL002W
chrI	147594	151166	-	TFC3	YAL001C
chrI	152257	153876	+	NUP60	YAR002W
chrI	154065	154724	-	ERP1	YAR002C-A
chrI	155005	156285	+	SWD1	YAR003W
chrI	156754	158619	-	RFA1	YAR007C
chrI	158966	159793	+	SEN34	YAR008W
chrI	160597	164187	-	YAR009C	YAR009C
chrI	164544	165866	-	YAR010C	YAR010C
chrI	166267	166339	+	TGA1	YNCA0004W
chrI	166742	168871	-	BUD14	YAR014C
chrI	169375	170295	+	ADE1	YAR015W
chrI	170396	171703	-	KIN3	YAR018C
chrI	172211	175135	-	CDC15	YAR019C
chrI	176856	177023	-	PAU7	YAR020C
chrI	179281	179820	-	YAR023C	YAR023C
chrI	181141	181254	+	SUP56	YNCA0005W
chrI	182522	182603	-	YNCA0006C	YNCA0006C
chrI	183770	184477	+	UIP3	YAR027W
chrI	184892	185596	+	YAR028W	YAR028W
chrI	186321	186545	+	YAR029W	YAR029W
chrI	186836	187732	+	PRM9	YAR031W
chrI	188107	188811	+	MST28	YAR033W
chrI	190193	192256	+	YAT1	YAR035W
chrI	192337	192417	-	YAR035C-A	YAR035C-A
chrI	192619	196185	+	SWH1	YAR042W
chrI	203403	208016	+	FLO1	YAR050W
chrI	218140	219145	+	YAR061W	YAR061W
chrI	220198	220497	+	YAR064W	YAR064W
chrI	221049	221660	+	YAR066W	YAR066W
chrI	222406	222891	+	YAR068W	YAR068W
chrI	225460	226863	+	PHO11	YAR071W
chrII	280	2658	-	YBL113C	YBL113C
chrII	2582	2899	-	YBL112C	YBL112C
chrII	2907	5009	-	YBL111C	YBL111C
chrII	7605	7733	-	PAU9	YBL108C-A
chrII	9583	9666	+	YNCB0001W	YNCB0001W
chrII	9961	10551	-	MIX23	YBL107C
chrII	10847	13879	-	SRO77	YBL106C
chrII	14241	17696	-	PKC1	YBL105C
chrII	18177	21293	-	SEA4	YBL104C
chrII	22076	23536	-	RTG3	YBL103C
chrII	24098	24745	+	SFT2	YBL102W
chrII	24946	28299	-	ECM21	YBL101C
chrII	28427	28546	+	YBL100W-C	YBL100W-C
chrII	29935	35248	+	YBL100W-B	YBL100W-B
chrII	29935	31251	+	YBL100W-A	YBL100W-A
chrII	36398	36488	+	YNCB0002W	YNCB0002W
chrII	37053	38690	+	ATP1	YBL099W
chrII	39145	40527	+	BNA4	YBL098W
chrII	40831	43095	+	BRN1	YBL097W
chrII	43277	44089	+	MRX3	YBL095W
chrII	44256	44918	-	ROX3	YBL093C
chrII	45978	46370	+	RPL32	YBL092W
chrII	46565	47180	-	SCS22	YBL091C-A
chrII	47363	48628	-	MAP2	YBL091C
chrII	48825	49358	+	MRP21	YBL090W
chrII	49574	50953	+	AVT5	YBL089W
chrII	51019	59382	-	TEL1	YBL088C
chrII	59822	60739	-	RPL23A	YBL087C
chrII	61202	62602	-	YBL086C	YBL086C
chrII	63876	66818	+	BOI1	YBL085W
chrII	67169	69445	-	CDC27	YBL084C
chrII	69751	71127	-	ALG3	YBL082C
chrII	71866	72972	+	YBL081W	YBL081W
chrII	73070	74695	-	PET112	YBL080C
chrII	75259	79767	+	NUP170	YBL079W
chrII	80378	80731	-	ATG8	YBL078C
chrII	81043	84261	-	ILS1	YBL076C
chrII	84499	86448	-	SSA3	YBL075C
chrII	86722	87789	-	AAR2	YBL074C
chrII	88190	88277	+	SNR56	YNCB0003W
chrII	88523	89125	-	RPS8A	YBL072C
chrII	89458	89556	-	YBL071C-B	YBL071C-B
chrII	89978	90226	+	KTI11	YBL071W-A
chrII	90223	90531	-	YBL071C	YBL071C
chrII	90741	92030	+	AST1	YBL069W
chrII	92414	93394	+	PRS4	YBL068W
chrII	93639	95882	-	UBP13	YBL067C
chrII	96669	100115	-	SEF1	YBL066C
chrII	100371	101156	-	PRX1	YBL064C
chrII	101886	105221	+	KIP1	YBL063W
chrII	105316	107406	-	SKT5	YBL061C
chrII	107932	109995	+	YEL1	YBL060W
chrII	110125	110539	-	CMC2	YBL059C-A
chrII	110594	111244	+	IAI11	YBL059W
chrII	111437	112708	+	SHP1	YBL058W
chrII	112801	113427	-	PTH2	YBL057C
chrII	113762	115168	+	PTC3	YBL056W
chrII	115573	116829	-	YBL055C	YBL055C
chrII	117589	119166	+	TOD6	YBL054W
chrII	119379	121874	-	SAS3	YBL052C
chrII	122753	124759	-	PIN4	YBL051C
chrII	125125	126119	+	SEC17	YBL050W
chrII	126828	127244	+	MOH1	YBL049W
chrII	127299	127610	+	RRT1	YBL048W
chrII	127895	132040	-	EDE1	YBL047C
chrII	132424	133749	+	PSY4	YBL046W
chrII	134143	135516	-	COR1	YBL045C
chrII	135998	136366	+	YBL044W	YBL044W
chrII	136688	137461	+	ECM13	YBL043W
chrII	138341	140260	-	FUI1	YBL042C
chrII	141247	141972	+	PRE7	YBL041W
chrII	142112	142868	-	ERD2	YBL040C
chrII	143393	143572	+	MIN6	YBL039W-B
chrII	143989	145728	-	URA7	YBL039C
chrII	146187	146885	+	MRPL16	YBL038W
chrII	147209	150286	+	APL3	YBL037W
chrII	150447	151220	-	YBL036C	YBL036C
chrII	151493	153610	-	POL12	YBL035C
chrII	153848	158389	-	STU1	YBL034C
chrII	158656	159693	-	RIB1	YBL033C
chrII	160184	161329	+	HEK2	YBL032W
chrII	161699	162715	+	SHE1	YBL031W
chrII	163041	163997	-	PET9	YBL030C
chrII	164488	164772	-	YBL029C-A	YBL029C-A
chrII	166134	167264	+	YBL029W	YBL029W
chrII	167518	167838	-	YBL028C	YBL028C
chrII	168423	169376	+	RPL19B	YBL027W
chrII	170623	171038	+	LSM2	YBL026W
chrII	171481	171918	+	RRN10	YBL025W
chrII	172534	174588	+	NCL1	YBL024W
chrII	174920	177526	-	MCM2	YBL023C
chrII	177874	181275	-	PIM1	YBL022C
chrII	181660	182094	-	HAP3	YBL021C
chrII	182401	184125	+	RFT1	YBL020W
chrII	184353	185915	+	APN2	YBL019W
chrII	185998	186474	-	POP8	YBL018C
chrII	186844	191583	-	PEP1	YBL017C
chrII	192451	193512	+	FUS3	YBL016W
chrII	194122	195702	+	ACH1	YBL015W
chrII	197494	197567	+	YNCB0004W	YNCB0004W
chrII	197629	197699	-	YNCB0005C	YNCB0005C
chrII	199064	201748	-	RRN6	YBL014C
chrII	202056	203261	+	FMT1	YBL013W
chrII	203538	205817	+	SCT1	YBL011W
chrII	206107	206949	-	LAA2	YBL010C
chrII	207194	209224	+	ALK2	YBL009W
chrII	209409	209648	+	YBL008W-A	YBL008W-A
chrII	209653	212175	+	HIR1	YBL008W
chrII	212632	216366	-	SLA1	YBL007C
chrII	216587	217129	-	LDB7	YBL006C
chrII	217470	220400	+	PDR3	YBL005W
chrII	221330	226598	+	YBL005W-B	YBL005W-B
chrII	221330	222652	+	YBL005W-A	YBL005W-A
chrII	227075	227156	+	YNCB0006W	YNCB0006W
chrII	227636	235117	+	UTP20	YBL004W
chrII	235394	235792	-	HTA2	YBL003C
chrII	236492	236887	+	HTB2	YBL002W
chrII	237153	237467	-	ECM15	YBL001C
chrII	238941	241283	-	NTH2	YBR001C
chrII	241708	242568	-	RER2	YBR002C
chrII	242809	244230	+	COQ1	YBR003W
chrII	244366	245667	-	GPI18	YBR004C
chrII	245906	246547	+	RCR1	YBR005W
chrII	247010	248503	+	UGA2	YBR006W
chrII	248806	251016	-	DSF2	YBR007C
chrII	252563	254209	-	FLR1	YBR008C
chrII	255373	255684	-	HHF1	YBR009C
chrII	256331	256741	+	HHT1	YBR010W
chrII	257112	257975	-	IPP1	YBR011C
chrII	259869	265140	+	YBR012W-B	YBR012W-B
chrII	259869	261191	+	YBR012W-A	YBR012W-A
chrII	265492	265881	-	YBR013C	YBR013C
chrII	266378	266450	+	YNCB0007W	YNCB0007W
chrII	266725	267336	-	GRX7	YBR014C
chrII	267710	269503	-	MNN2	YBR015C
chrII	270247	270633	+	YBR016W	YBR016W
chrII	270947	273703	-	KAP104	YBR017C
chrII	274427	275527	-	GAL7	YBR018C
chrII	276253	278352	-	GAL10	YBR019C
chrII	276805	280645	+	YNCB0008W	YNCB0008W
chrII	279021	280607	+	GAL1	YBR020W
chrII	281443	283344	+	FUR4	YBR021W
