chr_id_short	Start	End	Strand	gene	locus_tag	Genbank ID	Chromosome	chr_length
chrI	1807	2169	-	PAU8	YAL068C	BK006935.2	NC_001133.9	230218
chrI	2480	2707	+	YAL067W-A	YAL067W-A	BK006935.2	NC_001133.9	230218
chrI	7235	9016	-	SEO1	YAL067C	BK006935.2	NC_001133.9	230218
chrI	11565	11951	-	YAL065C	YAL065C	BK006935.2	NC_001133.9	230218
chrI	12046	12426	+	YAL064W-B	YAL064W-B	BK006935.2	NC_001133.9	230218
chrI	13363	13743	-	TDA8	YAL064C-A	BK006935.2	NC_001133.9	230218
chrI	21566	21850	+	YAL064W	YAL064W	BK006935.2	NC_001133.9	230218
chrI	22395	22685	-	YAL063C-A	YAL063C-A	BK006935.2	NC_001133.9	230218
chrI	24000	27968	-	FLO9	YAL063C	BK006935.2	NC_001133.9	230218
chrI	31567	32940	+	GDH3	YAL062W	BK006935.2	NC_001133.9	230218
chrI	33448	34701	+	BDH2	YAL061W	BK006935.2	NC_001133.9	230218
chrI	35155	36303	+	BDH1	YAL060W	BK006935.2	NC_001133.9	230218
chrI	36509	37147	+	ECM1	YAL059W	BK006935.2	NC_001133.9	230218
chrI	37464	38972	+	CNE1	YAL058W	BK006935.2	NC_001133.9	230218
chrI	39259	41901	+	GPB2	YAL056W	BK006935.2	NC_001133.9	230218
chrI	42177	42719	+	PEX22	YAL055W	BK006935.2	NC_001133.9	230218
chrI	42881	45022	-	ACS1	YAL054C	BK006935.2	NC_001133.9	230218
chrI	45899	48250	+	FLC2	YAL053W	BK006935.2	NC_001133.9	230218
chrI	48564	51707	+	OAF1	YAL051W	BK006935.2	NC_001133.9	230218
chrI	51855	52595	-	AIM2	YAL049C	BK006935.2	NC_001133.9	230218
chrI	52801	54789	-	GEM1	YAL048C	BK006935.2	NC_001133.9	230218
chrI	54989	56857	-	SPC72	YAL047C	BK006935.2	NC_001133.9	230218
chrI	57029	57385	-	BOL3	YAL046C	BK006935.2	NC_001133.9	230218
chrI	57518	57850	+	BOL1	YAL044W-A	BK006935.2	NC_001133.9	230218
chrI	57950	58462	-	GCV3	YAL044C	BK006935.2	NC_001133.9	230218
chrI	58695	61052	-	PTA1	YAL043C	BK006935.2	NC_001133.9	230218
chrI	61316	62563	+	ERV46	YAL042W	BK006935.2	NC_001133.9	230218
chrI	62840	65404	+	CDC24	YAL041W	BK006935.2	NC_001133.9	230218
chrI	65778	67520	-	CLN3	YAL040C	BK006935.2	NC_001133.9	230218
chrI	68716	69525	-	CYC3	YAL039C	BK006935.2	NC_001133.9	230218
chrI	71786	73288	+	CDC19	YAL038W	BK006935.2	NC_001133.9	230218
chrI	73426	73518	-	YAL037C-A	YAL037C-A	BK006935.2	NC_001133.9	230218
chrI	74020	74823	+	YAL037W	YAL037W	BK006935.2	NC_001133.9	230218
chrI	75043	76152	-	RBG1	YAL036C	BK006935.2	NC_001133.9	230218
chrI	76427	79435	+	FUN12	YAL035W	BK006935.2	NC_001133.9	230218
chrI	79718	80587	+	MTW1	YAL034W-A	BK006935.2	NC_001133.9	230218
chrI	80710	81951	-	FUN19	YAL034C	BK006935.2	NC_001133.9	230218
chrI	82706	83227	+	POP5	YAL033W	BK006935.2	NC_001133.9	230218
chrI	83335	84474	-	PRP45	YAL032C	BK006935.2	NC_001133.9	230218
chrI	84749	87031	-	GIP4	YAL031C	BK006935.2	NC_001133.9	230218
chrI	87286	87752	+	SNC1	YAL030W	BK006935.2	NC_001133.9	230218
chrI	87855	92270	-	MYO4	YAL029C	BK006935.2	NC_001133.9	230218
chrI	92900	94486	+	FRT2	YAL028W	BK006935.2	NC_001133.9	230218
chrI	94687	95472	+	SAW1	YAL027W	BK006935.2	NC_001133.9	230218
chrI	95630	99697	-	DRS2	YAL026C	BK006935.2	NC_001133.9	230218
chrI	99305	99868	+	HRA1	YNCA0001W	BK006935.2	NC_001133.9	230218
chrI	100225	101145	-	MAK16	YAL025C	BK006935.2	NC_001133.9	230218
chrI	101565	105872	-	LTE1	YAL024C	BK006935.2	NC_001133.9	230218
chrI	106272	108551	-	PMT2	YAL023C	BK006935.2	NC_001133.9	230218
chrI	108877	110430	-	FUN26	YAL022C	BK006935.2	NC_001133.9	230218
chrI	110846	113359	-	CCR4	YAL021C	BK006935.2	NC_001133.9	230218
chrI	113614	114615	-	ATS1	YAL020C	BK006935.2	NC_001133.9	230218
chrI	114919	118314	+	FUN30	YAL019W	BK006935.2	NC_001133.9	230218
chrI	118564	119541	-	LDS1	YAL018C	BK006935.2	NC_001133.9	230218
chrI	120225	124295	+	PSK1	YAL017W	BK006935.2	NC_001133.9	230218
chrI	124879	126786	+	TPD3	YAL016W	BK006935.2	NC_001133.9	230218
chrI	126903	128102	-	NTG1	YAL015C	BK006935.2	NC_001133.9	230218
chrI	128252	129019	-	SYN8	YAL014C	BK006935.2	NC_001133.9	230218
chrI	129270	130487	+	DEP1	YAL013W	BK006935.2	NC_001133.9	230218
chrI	130799	131983	+	CYS3	YAL012W	BK006935.2	NC_001133.9	230218
chrI	132199	134076	+	SWC3	YAL011W	BK006935.2	NC_001133.9	230218
chrI	134184	135665	-	MDM10	YAL010C	BK006935.2	NC_001133.9	230218
chrI	135854	136633	+	SPO7	YAL009W	BK006935.2	NC_001133.9	230218
chrI	136914	137510	+	FUN14	YAL008W	BK006935.2	NC_001133.9	230218
chrI	137698	138345	-	ERP2	YAL007C	BK006935.2	NC_001133.9	230218
chrI	139152	139254	+	TRN1	YNCA0002W	BK006935.2	NC_001133.9	230218
chrI	139503	141431	-	SSA1	YAL005C	BK006935.2	NC_001133.9	230218
chrI	142174	143160	+	EFB1	YAL003W	BK006935.2	NC_001133.9	230218
chrI	142367	142468	+	SNR18	YNCA0003W	BK006935.2	NC_001133.9	230218
chrI	143707	147531	+	VPS8	YAL002W	BK006935.2	NC_001133.9	230218
chrI	147594	151166	-	TFC3	YAL001C	BK006935.2	NC_001133.9	230218
chrI	152257	153876	+	NUP60	YAR002W	BK006935.2	NC_001133.9	230218
chrI	154065	154724	-	ERP1	YAR002C-A	BK006935.2	NC_001133.9	230218
chrI	155005	156285	+	SWD1	YAR003W	BK006935.2	NC_001133.9	230218
chrI	156754	158619	-	RFA1	YAR007C	BK006935.2	NC_001133.9	230218
